Distance_m,Water depth (cm),Thaw depth (cm),Vegetation height (cm),Vegetation type,Micro- relief,Latitude,Longitude,Date,site_id,Table,Transect,Microrelief
11,0,46,,,-,70.22933014693004,-148.4248474,8/15/20,Jorgenson_JS,A2.6,JS,
12,0,49,,,-,70.22932797844712,-148.4248217,8/15/20,Jorgenson_JS,A2.6,JS,
13,0,50,,,-,70.22932581,-148.424796,8/15/20,Jorgenson_JS,A2.6,JS,
14,0,40,,,-,70.22932364147023,-148.4247703,8/15/20,Jorgenson_JS,A2.6,JS,
15,0,54,,,-,70.22932147,-148.4247446,8/15/20,Jorgenson_JS,A2.6,JS,
16,0,50,,,-,70.22931930447868,-148.4247189,8/15/20,Jorgenson_JS,A2.6,JS,
17,0,54,,,-,70.22931714,-148.4246932,8/15/20,Jorgenson_JS,A2.6,JS,
18,0,49,,,-,70.22931496747245,-148.4246675,8/15/20,Jorgenson_JS,A2.6,JS,
19,0,40,,,-,70.22931279896383,-148.4246419,8/15/20,Jorgenson_JS,A2.6,JS,
20,0,48,,,-,70.22931063045154,-148.4246162,8/15/20,Jorgenson_JS,A2.6,JS,
21,0,36,,,-,70.22930846193557,-148.4245905,8/15/20,Jorgenson_JS,A2.6,JS,
22,0,34,,,-,70.22930629341595,-148.4245648,8/15/20,Jorgenson_JS,A2.6,JS,
