ALD,slope,Tree_LAI,Understorey_LAI,OM_thick,Moss_thickness,Moss_thickness,DeepMoist,SurfMoist,Height,Region,Site,Plot,GPS.N,GPS.W,LAI
50,14.20,0.35,0.414,28,12,40,0.098,0.036,31.4,WH,FFU,FFUOM7,NA,NA,0.763829
> 150,5.40,0.08,0.647,59.6,0.4,60,0.685,0.290,10.4,YK,MB,MB1,62.69908333,116.1321111,0.727178
95.8,3.90,0.30,1.333,33.8,0.2,34,0.872,0.191,29.8,YK,MB,MB10,62.69922222,116.1316389,1.633286
> 150,5.40,0.06,0.320,48.4,0.6,49,0.655,0.139,2.6,YK,MB,MB11,62.69908333,116.1315,0.38008
95,4.60,0.05,0.240,45,0,45,0.342,0.109,3.6,YK,MB,MB12,62.69919444,116.1310833,0.2903
119.5,8.80,0.00,0.240,46,0,46,0.731,0.138,8.8,YK,MB,MB13,62.69919444,116.131,0.2403
92.2,2.10,0.02,0.942,79.7,0.3,80,0.857,0.277,57.2,YK,MB,MB14,62.69911111,116.1308889,0.962364
77.1,4.60,0.02,0.607,39.6,0.4,40,0.707,0.170,25.2,YK,MB,MB15,62.69908333,116.1308056,0.627288
> 150,6.30,0.05,0.288,23.7,0.3,24,0.743,0.157,13,YK,MB,MB16,62.69905556,116.1307778,0.338168
> 150,8.40,0.10,0.631,31.6,0.4,32,0.753,0.175,22.6,YK,MB,MB17,62.699,116.1308056,0.731222
> 150,0.90,0.03,0.759,68.4,0.6,69,0.691,0.447,14.6,YK,MB,MB18,62.69913889,116.1309444,0.78887
> 150,5.90,0.02,0.958,14.7,0.3,15,0.463,0.383,37.2,YK,MB,MB19,62.69936111,116.1310833,0.97832
> 150,5.40,0.07,0.344,33.7,0.3,34,0.554,0.188,6.4,YK,MB,MB2,62.69913889,116.1319722,0.414014
> 150,7.10,0.12,1.158,63.3,0.7,64,0.375,0.153,66.6,YK,MB,MB20,62.69941667,116.1312778,1.27777
> 150,12.80,0.17,1.317,77.4,0.6,78,0.363,0.157,30.6,YK,MB,MB21,62.69947222,116.13125,1.48733
> 150,2.30,0.13,0.520,60.6,0.4,61,0.751,0.262,28.6,YK,MB,MB23,62.69952778,116.1310556,0.64953
> 150,6.60,0.09,1.062,39.8,0.2,40,0.683,0.174,51.2,YK,MB,MB24Bet,62.69944444,116.1309167,1.152034
> 150,4.80,0.03,0.767,24.7,0.3,25,0.827,0.314,43.2,YK,MB,MB24Flux,62.6995,116.1309444,0.796848
100.2,4.70,0.11,1.453,47.7,0.3,48,0.705,0.240,35.6,YK,MB,MB25,62.69958333,116.1309167,1.562956
82.3,6.50,0.05,1.158,58.3,0.7,59,0.545,0.140,110.4,YK,MB,MB26,62.69963889,116.1308333,1.20777
78.5,4.80,0.03,1.174,56.5,0.5,57,0.309,0.133,27.2,YK,MB,MB27,62.69966667,116.1306667,1.203726
50.5,6.40,0.03,1.389,66.5,0.5,67,0.337,0.218,31.6,YK,MB,MB28,62.69972222,116.1306389,1.419132
51.4,6.50,0.12,1.644,67.4,0.6,68,0.323,0.169,78,YK,MB,MB29,62.69972222,116.1307778,1.764428
> 150,6.40,0.12,0.583,34.4,0.6,35,0.709,0.142,5.2,YK,MB,MB3,62.69913889,116.1319167,0.703354
89.5,8.90,0.14,0.456,35.5,5.5,41,0.725,0.133,16.2,YK,MB,MB30,62.69975,116.1307778,0.595706
> 150,4.30,0.21,1.772,37.5,0.5,38,0.611,0.145,122,YK,MB,MB4,62.69908333,116.1319444,1.982076
> 150,5.90,0.12,0.384,38.4,0.6,39,0.622,0.072,8.8,YK,MB,MB5,62.69913889,116.1318056,0.503904
100.4,9.60,0.24,0.815,37.4,0.6,38,0.480,0.262,91.2,YK,MB,MB6,62.69916667,116.1317778,1.054716
> 150,9.30,0.20,0.344,47.2,0.8,48,0.932,0.126,15.8,YK,MB,MB7,62.69916667,116.1317222,0.544014
> 150,6.80,0.14,0.551,30.7,0.3,31,0.538,0.112,13.6,YK,MB,MB8,62.69919444,116.1318056,0.691442
106.7,10.50,0.18,1.405,24.7,0.3,25,0.567,0.195,90.8,YK,MB,MB9,62.69916667,116.1316111,1.585088
41,13.50,0.48,1.158,77,8,85,0.186,0.110,22.4,YK,MU,MU1,62.69963889,116.1315278,1.63777
45,9.90,0.67,0.815,47.5,4.5,52,0.186,0.110,21.6,YK,MU,MU10,62.69938889,116.1319167,1.484716
46,7.70,0.66,0.328,68,3,71,0.308,0.063,7.6,YK,MU,MU11,62.69941667,116.1319167,0.988058
37.5,7.00,0.71,1.333,64,5,69,0.140,0.061,48.6,YK,MU,MU12,62.69938889,116.132,2.043286
44.5,7.40,0.60,0.751,46,3,49,0.400,0.136,12.6,YK,MU,MU13,62.69933333,116.1318889,1.350892
40.5,11.00,0.75,0.679,52,8,60,0.194,0.033,32.4,YK,MU,MU14,62.69938889,116.132,1.42909
67.5,10.90,0.65,1.541,29,4,33,0.185,0.091,116.4,YK,MU,MU15,62.69941667,116.1320833,2.190714
43.5,8.70,0.75,2.155,82,5,87,0.212,0.093,48,YK,MU,MU16,62.69938889,116.1320278,2.90502
42,7.20,0.89,0.512,39,2,41,0.234,0.155,2.4,YK,MU,MU17,62.69944444,116.1321389,1.401552
37,5.60,0.81,0.855,66,4,70,0.213,0.034,32.2,YK,MU,MU18,62.69944444,116.132,1.664606
53,13.40,0.63,0.759,45.5,6.5,52,0.130,0.064,23.6,YK,MU,MU19,62.69944444,116.1320556,1.38887
55.5,7.60,0.84,0.679,59,3,62,0.245,0.127,10.6,YK,MU,MU2,62.69958333,116.1314722,1.51909
35.5,2.70,1.10,1.254,63.5,9.5,73,0.207,0.067,33.2,YK,MU,MU20,62.69952778,116.1321667,2.353506
41,11.80,0.68,1.517,44.5,5.5,50,0.094,0.093,21.2,YK,MU,MU21,62.69952778,116.1320556,2.19678
35.5,11.20,0.67,0.607,49,7,56,0.158,0.069,39.2,YK,MU,MU22,62.69952778,116.1319722,1.277288
42,7.80,0.58,1.046,44.5,5.5,50,0.284,0.110,32.8,YK,MU,MU23,62.6995,116.1319444,1.626078
43.5,3.90,0.84,1.182,53,7,60,0.130,0.065,51.2,YK,MU,MU24,62.69938889,116.1318611,2.021704
40.5,4.60,0.60,1.309,39,1,40,0.483,0.088,64.8,YK,MU,MU25,62.69936111,116.1318611,1.909352
36,11.10,0.44,0.456,85,8,93,0.204,0.085,33,YK,MU,MU26,62.69966667,116.1315,0.895706
8,16.10,0.54,2.011,46,33,79,0.088,0.044,83.2,YK,MU,MU27,62.69963889,116.1316111,2.551416
46.5,6.70,0.03,1.956,45.5,9.5,55,0.136,0.064,42,YK,MU,MU28,62.69961111,116.1316944,1.98557
57,7.00,0.59,0.639,74,0,74,0.327,0.123,31.4,YK,MU,MU29,62.69963889,116.1316389,1.2292
67.5,2.90,0.56,0.799,75,2,77,0.480,0.160,26.6,YK,MU,MU3,62.69961111,116.13175,1.35876
40,11.30,0.82,1.238,59,7,66,0.250,0.087,24.8,YK,MU,MU30,62.69961111,116.1316667,2.05755
71.5,5.20,0.61,0.671,27,9,36,0.512,0.092,41.6,YK,MU,MU4,62.69958333,116.13175,1.281112
39,4.60,0.72,1.174,74.5,8.5,83,0.164,0.067,32.6,YK,MU,MU5,62.69955556,116.1316389,1.893726
32,14.40,0.64,1.341,66.5,18.5,85,0.078,0.029,76.8,YK,MU,MU6,62.69952778,116.131575,1.981264
33.5,18.40,0.79,0.679,70,16,86,0.110,0.012,19,YK,MU,MU7,62.6995,116.1315,1.46909
34.5,1.60,0.84,0.687,61.5,14.5,76,0.213,0.076,17.2,YK,MU,MU8,62.6995,116.1314722,1.527068
44,7.10,0.79,0.488,47.5,5.5,53,0.222,0.093,12.4,YK,MU,MU9,62.69944444,116.1319444,1.277618
