FID,transect,distance,trans_distance,easting,northing,ecotype,permafrost,frost_top,frost_top_depth_flag,frost_bottom,frost_bottom_depth_flag,frost_thickness,frost_thickness_flag,water_depth,photos,notes
37,1,61,1_61,473069.8068,6790785.732,Lowland Moist Graminoid Shrub Meadow,1,62,,-9999,,-9999,,0,NA,NA
38,1,62,1_62,473070.8047,6790785.797,Lowland Moist Graminoid Shrub Meadow,1,37,,-9999,,-9999,,0,NA,NA
39,1,63,1_63,473071.8026,6790785.861,Lowland Moist Graminoid Shrub Meadow,1,38,,-9999,,-9999,,0,NA,NA
40,1,64,1_64,473072.8006,6790785.925,Lowland Moist Graminoid Shrub Meadow,1,37,,-9999,,-9999,,0,NA,NA
41,1,65,1_65,473073.7985,6790785.99,Lowland Moist Graminoid Shrub Meadow,1,33,,-9999,,-9999,,0,NA,NA
42,1,66,1_66,473074.7964,6790786.054,Lowland Moist Graminoid Shrub Meadow,1,33,,-9999,,-9999,,0,NA,NA
43,1,67,1_67,473075.7943,6790786.118,Lowland Moist Graminoid Shrub Meadow,1,42,,-9999,,-9999,,0,NA,NA
44,1,68,1_68,473076.7923,6790786.183,Lowland Moist Graminoid Shrub Meadow,1,40,,-9999,,-9999,,0,Belos 0774,NA
45,2,1,2_1,473249.2222,6791280.554,Lowland Wet Sedge Meadow,0,125,GT,-9999,,-9999,,0,Belos 0782,NA
46,2,2,2_2,473250.2152,6791280.673,Lowland Wet Sedge Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
47,2,3,2_3,473251.2081,6791280.791,Lowland Wet Sedge Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
48,2,4,2_4,473252.2011,6791280.909,Lowland Wet Sedge Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
49,2,5,2_5,473253.1941,6791281.027,Lowland Wet Sedge Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
50,2,6,2_6,473254.1871,6791281.146,Thermokarst Pit/Moat,0,125,GT,-9999,,-9999,,0,NA,moat
51,2,7,2_7,473255.1801,6791281.264,Thermokarst Pit/Moat,0,125,GT,-9999,,-9999,,0,NA,NA
52,2,8,2_8,473256.173,6791281.382,Lowland Wet Sedge Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
53,2,9,2_9,473257.166,6791281.5,Lowland Wet Sedge Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
54,2,10,2_10,473258.159,6791281.619,Thermokarst Pit/Moat,0,125,GT,-9999,,-9999,,0,NA,moat
55,2,11,2_11,473259.152,6791281.737,Thermokarst Pit/Moat,0,125,GT,-9999,,-9999,,0,NA,moat
56,2,12,2_12,473260.145,6791281.855,Lowland Moist Graminoid Shrub Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
57,2,13,2_13,473261.1379,6791281.974,Lowland Moist Graminoid Shrub Meadow,1,34,,77,,-9999,,0,NA,NA
58,2,14,2_14,473262.1309,6791282.092,Lowland Moist Graminoid Shrub Meadow,1,34,,-9999,,-9999,,0,NA,NA
59,2,15,2_15,473263.1239,6791282.21,Lowland Moist Graminoid Shrub Meadow,1,35,,-9999,,-9999,,0,NA,NA
60,2,16,2_16,473264.1169,6791282.328,Lowland Moist Graminoid Shrub Meadow,1,36,,-9999,,-9999,,0,NA,NA
61,2,17,2_17,473265.1099,6791282.447,Lowland Moist Graminoid Shrub Meadow,1,34,,-9999,,-9999,,0,NA,2005 rackline
62,2,18,2_18,473266.1029,6791282.565,Lowland Moist Graminoid Shrub Meadow,1,33,,-9999,,-9999,,0,NA,wrack strewn throughout to 33m
63,2,19,2_19,473267.0958,6791282.683,Lowland Moist Graminoid Shrub Meadow,1,33,,-9999,,-9999,,0,NA,NA
64,2,20,2_20,473268.0888,6791282.802,Lowland Moist Graminoid Shrub Meadow,1,34,,-9999,,-9999,,0,NA,NA
65,2,21,2_21,473269.0818,6791282.92,Lowland Moist Graminoid Shrub Meadow,1,33,,-9999,,-9999,,0,NA,NA
66,2,22,2_22,473270.0748,6791283.038,Lowland Moist Graminoid Shrub Meadow,1,33,,-9999,,-9999,,0,NA,NA
67,2,23,2_23,473271.0678,6791283.156,Lowland Moist Graminoid Shrub Meadow,1,33,,-9999,,-9999,,0,NA,NA
68,2,24,2_24,473272.0607,6791283.275,Lowland Moist Graminoid Shrub Meadow,1,28,,-9999,,-9999,,0,NA,NA
69,2,25,2_25,473273.0537,6791283.393,Lowland Moist Graminoid Shrub Meadow,1,36,,-9999,,-9999,,0,Belos 0785-0786,NA
70,2,26,2_26,473274.0467,6791283.511,Lowland Moist Graminoid Shrub Meadow,1,34,,-9999,,-9999,,0,NA,NA
71,2,27,2_27,473275.0397,6791283.629,Lowland Moist Graminoid Shrub Meadow,1,34,,-9999,,-9999,,0,NA,NA
72,2,28,2_28,473276.0327,6791283.748,Lowland Moist Graminoid Shrub Meadow,1,34,,-9999,,-9999,,0,NA,NA
73,2,29,2_29,473277.0256,6791283.866,Lowland Moist Graminoid Shrub Meadow,1,34,,-9999,,-9999,,0,NA,NA
74,2,30,2_30,473278.0186,6791283.984,Lowland Moist Graminoid Shrub Meadow,1,33,,-9999,,-9999,,0,NA,NA
75,2,31,2_31,473279.0116,6791284.103,Lowland Moist Graminoid Shrub Meadow,1,36,,-9999,,-9999,,0,NA,NA
76,2,32,2_32,473280.0046,6791284.221,Lowland Moist Graminoid Shrub Meadow,1,34,,-9999,,-9999,,0,NA,NA
77,2,33,2_33,473280.9976,6791284.339,Lowland Moist Graminoid Shrub Meadow,1,33,,-9999,,-9999,,0,NA,end 2005 wrack line
78,2,34,2_34,473281.9905,6791284.457,Lowland Moist Graminoid Shrub Meadow,1,30,,-9999,,-9999,,0,NA,NA
79,2,35,2_35,473282.9835,6791284.576,Lowland Moist Graminoid Shrub Meadow,1,31,,-9999,,-9999,,0,NA,NA
80,2,36,2_36,473283.9765,6791284.694,Lowland Moist Graminoid Shrub Meadow,1,40,,-9999,,-9999,,0,NA,NA
81,2,37,2_37,473284.9695,6791284.812,Lowland Moist Graminoid Shrub Meadow,1,43,,-9999,,-9999,,0,NA,NA
82,2,38,2_38,473285.9625,6791284.931,Lowland Moist Graminoid Shrub Meadow,1,35,,-9999,,-9999,,0,NA,NA
83,2,39,2_39,473286.9554,6791285.049,Lowland Moist Graminoid Shrub Meadow,1,34,,-9999,,-9999,,0,NA,NA
84,2,40,2_40,473287.9484,6791285.167,Lowland Moist Graminoid Shrub Meadow,1,42,,-9999,,-9999,,0,NA,NA
85,2,41,2_41,473288.9414,6791285.285,Lowland Moist Graminoid Shrub Meadow,1,45,,-9999,,-9999,,0,NA,NA
86,2,42,2_42,473289.9344,6791285.404,Lowland Moist Graminoid Shrub Meadow,1,66,,-9999,,-9999,,0,NA,NA
87,2,43,2_43,473290.9274,6791285.522,Thermoerosional gully,1,93,,125,GT,-9999,,0,Belos 0787,recent subsidence
88,2,44,2_44,473291.9203,6791285.64,Thermoerosional gully,0,125,GT,-9999,,-9999,,0,NA,recent subsidence
89,2,45,2_45,473292.9133,6791285.758,Thermoerosional gully,0,125,GT,-9999,,-9999,,0,NA,thermoerosional gully
90,2,46,2_46,473293.9063,6791285.877,Thermoerosional gully,0,125,GT,-9999,,-9999,,0,NA,thermoerosional gully
91,2,47,2_47,473294.8993,6791285.995,Thermoerosional gully,0,125,GT,-9999,,-9999,,0,NA,thermoerosional gully
92,2,48,2_48,473295.8923,6791286.113,Thermoerosional gully,0,125,GT,-9999,,-9999,,0,NA,thermoerosional gully
93,2,49,2_49,473296.8852,6791286.232,Thermoerosional gully,0,125,GT,-9999,,-9999,,0,NA,thermoerosional gully
94,2,50,2_50,473297.8782,6791286.35,Thermoerosional gully,0,125,GT,-9999,,-9999,,0,NA,thermoerosional gully
95,2,55,2_55,473302.8431,6791286.941,Thermoerosional gully,0,125,GT,-9999,,-9999,,0,NA,thermoerosional gully
96,2,60,2_60,473307.808,6791287.533,Thermoerosional gully,0,125,GT,-9999,,-9999,,0,NA,thermoerosional gully
97,2,65,2_65,473312.7729,6791288.124,Thermoerosional gully,0,125,GT,-9999,,-9999,,0,NA,thermoerosional gully
98,2,66,2_66,473313.7659,6791288.242,Thermoerosional gully,0,125,GT,-9999,,-9999,,0,NA,thermoerosional gully
99,2,67,2_67,473314.7589,6791288.361,Thermoerosional gully,0,125,GT,-9999,,-9999,,0,NA,thermoerosional gully
100,2,68,2_68,473315.7519,6791288.479,RackLine? Thermoerosional gully,0,125,GT,-9999,,-9999,,0,Belos 0784,2005 wrack edge of gully
101,2,69,2_69,473316.7449,6791288.597,Lowland Moist Graminoid Shrub Meadow,1,48,,125,GT,-9999,,0,NA,verified with horizontal probe
102,2,70,2_70,473317.7378,6791288.715,Lowland Moist Graminoid Shrub Meadow,1,37,,-9999,,-9999,,0,NA,NA
103,2,71,2_71,473318.7308,6791288.834,Lowland Moist Graminoid Shrub Meadow,1,34,,-9999,,-9999,,0,NA,NA
104,2,72,2_72,473319.7238,6791288.952,Lowland Moist Graminoid Shrub Meadow,1,36,,-9999,,-9999,,0,NA,NA
105,2,73,2_73,473320.7168,6791289.07,Lowland Moist Graminoid Shrub Meadow,1,43,,-9999,,-9999,,0,NA,NA
106,2,74,2_74,473321.7098,6791289.189,Lowland Moist Graminoid Shrub Meadow,1,48,,-9999,,-9999,,0,NA,NA
107,2,75,2_75,473322.7027,6791289.307,Lowland Moist Graminoid Shrub Meadow,1,45,,-9999,,-9999,,0,Belos 0873,NA
108,3,0,3_0,473321.0302,6790862.877,Lowland Moist Graminoid Shrub Meadow,1,33,,-9999,,-9999,,0,Belos 0793,NA
109,3,2,3_2,473321.5434,6790864.81,Lowland Moist Graminoid Shrub Meadow,1,34,,-9999,,-9999,,0,NA,NA
110,3,4,3_4,473322.0566,6790866.743,Lowland Moist Graminoid Shrub Meadow,1,36,,-9999,,-9999,,0,NA,NA
111,3,6,3_6,473322.5698,6790868.676,Lowland Moist Graminoid Shrub Meadow,1,37,,-9999,,-9999,,0,NA,NA
112,3,8,3_8,473323.083,6790870.609,Lowland Moist Graminoid Shrub Meadow,1,29,,-9999,,-9999,,0,NA,NA
113,3,10,3_10,473323.5962,6790872.542,Lowland Moist Graminoid Shrub Meadow,1,28,,-9999,,-9999,,0,NA,NA
114,3,12,3_12,473324.1094,6790874.475,Lowland Moist Graminoid Shrub Meadow,1,31,,-9999,,-9999,,0,NA,NA
115,3,14,3_14,473324.6226,6790876.408,Lowland Moist Graminoid Shrub Meadow,1,40,,-9999,,-9999,,0,NA,NA
116,3,15,3_15,473324.8792,6790877.375,Lowland Wet Sedge Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
117,3,16,3_16,473325.1358,6790878.341,Lowland Wet Sedge Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
118,3,18,3_18,473325.649,6790880.274,Lowland Moist Graminoid Shrub Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
119,3,19,3_19,473325.9056,6790881.241,Lowland Moist Graminoid Shrub Meadow,0,125,GT,-9999,,-9999,,0,Belos 0794-0795,lake edge
120,3,20,3_20,473326.1622,6790882.207,Water,0,-999,,-9999,,-9999,,-9999,NA,lake
121,3,36,3_36,473330.2678,6790897.672,Water,0,-999,,-9999,,-9999,,-9999,NA,lake
122,3,37,3_37,473330.5244,6790898.638,Lowland Wet Sedge Meadow,0,125,GT,-9999,,-9999,,0,NA,lake edge
123,3,38,3_38,473330.781,6790899.605,Lowland Moist Graminoid Shrub Meadow,0,125,GT,-9999,,-9999,,0,Belos 0802-0803,NA
124,3,40,3_40,473331.2942,6790901.538,Lowland Moist Graminoid Shrub Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
125,3,42,3_42,473331.8074,6790903.471,Lowland Moist Graminoid Shrub Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
126,3,43,3_43,473332.064,6790904.437,Lowland Moist Graminoid Shrub Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
127,3,44,3_44,473332.3206,6790905.404,Lowland Moist Graminoid Shrub Meadow,1,28,,90,,-9999,,0,NA,local mound
128,3,45,3_45,473332.5772,6790906.37,Lowland Moist Graminoid Shrub Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
129,3,46,3_46,473332.8338,6790907.337,Lowland Moist Graminoid Shrub Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
130,3,48,3_48,473333.347,6790909.27,Lowland Moist Graminoid Shrub Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
131,3,49,3_49,473333.6036,6790910.236,Lowland Moist Graminoid Shrub Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
132,3,57,3_57,473335.6564,6790917.969,Water,0,-999,,-9999,,-9999,,-9999,Belos 0796,lake edge
133,3,58,3_58,473335.913,6790918.935,Lowland Moist Graminoid Shrub Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
134,3,60,3_60,473336.4262,6790920.868,Lowland Moist Graminoid Shrub Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
135,3,62,3_62,473336.9394,6790922.801,Lowland Moist Graminoid Shrub Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
136,3,64,3_64,473337.4526,6790924.734,Lowland Moist Graminoid Shrub Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
137,3,65,3_65,473337.7092,6790925.701,Lowland Moist Graminoid Shrub Meadow,1,48,,82,,-9999,,0,NA,NA
138,3,66,3_66,473337.9658,6790926.667,Lowland Moist Graminoid Shrub Meadow,1,51,,-9999,,-9999,,0,NA,NA
139,3,68,3_68,473338.479,6790928.6,Lowland Moist Graminoid Shrub Meadow,1,37,,-9999,,-9999,,0,NA,NA
140,3,70,3_70,473338.9922,6790930.533,Lowland Moist Graminoid Shrub Meadow,1,47,,-9999,,-9999,,0,NA,NA
141,3,72,3_72,473339.5054,6790932.466,Lowland Moist Graminoid Shrub Meadow,1,45,,-9999,,-9999,,0,NA,NA
142,3,74,3_74,473340.0186,6790934.399,Lowland Moist Graminoid Shrub Meadow,1,41,,-9999,,-9999,,0,Belos 0799-0800,NA
143,3,76,3_76,473340.5318,6790936.332,Lowland Moist Graminoid Shrub Meadow,1,36,,-9999,,-9999,,0,NA,NA
144,3,78,3_78,473341.045,6790938.265,Lowland Moist Graminoid Shrub Meadow,1,39,,-9999,,-9999,,0,NA,NA
145,3,80,3_80,473341.5582,6790940.198,Lowland Moist Graminoid Shrub Meadow,1,36,,-9999,,-9999,,0,NA,NA
146,3,82,3_82,473342.0714,6790942.131,Lowland Moist Graminoid Shrub Meadow,1,39,,-9999,,-9999,,0,NA,NA
147,3,84,3_84,473342.5846,6790944.064,Lowland Moist Graminoid Shrub Meadow,1,38,,-9999,,-9999,,0,NA,bristle-thighed curlew landed near plot
148,3,86,3_86,473343.0978,6790945.998,Lowland Moist Graminoid Shrub Meadow,1,38,,-9999,,-9999,,0,NA,NA
149,3,88,3_88,473343.611,6790947.931,Lowland Moist Graminoid Shrub Meadow,1,57,,-9999,,-9999,,0,NA,NA
150,3,90,3_90,473344.1242,6790949.864,Lowland Moist Graminoid Shrub Meadow,1,57,,-9999,,-9999,,0,NA,NA
151,3,92,3_92,473344.6374,6790951.797,Lowland Moist Graminoid Shrub Meadow,1,46,,-9999,,-9999,,0,NA,NA
152,3,93,3_93,473344.894,6790952.763,Lowland Moist Graminoid Shrub Meadow,1,74,,-9999,,-9999,,0,NA,NA
153,3,94,3_94,473345.1506,6790953.73,Lowland Moist Graminoid Shrub Meadow,1,109,,125,GT,-9999,,0,NA,NA
154,3,95,3_95,473345.4072,6790954.696,Lowland Moist Graminoid Shrub Meadow,0,125,GT,-9999,,-9999,,0,Belos 0798,NA
155,3,97,3_97,473345.9204,6790956.629,Lowland Moist Graminoid Shrub Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
156,3,100,3_100,473346.6902,6790959.529,Lowland Moist Graminoid Shrub Meadow,0,125,GT,-9999,,-9999,,0,Belos 0797,NA
157,4,0,4_0,473083.7552,6788376.063,Water,0,125,GT,-9999,,-9999,,-9999,Belos 0815-0816,lake
158,4,1,4_1,473082.8799,6788376.547,Lowland Wet Sedge Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
159,4,2,4_2,473082.0046,6788377.03,Lowland Moist Graminoid Shrub Meadow,1,62,,73,,-9999,,0,NA,NA
160,4,3,4_3,473081.1293,6788377.514,Lowland Moist Graminoid Shrub Meadow,1,39,,-9999,,-9999,,0,NA,NA
161,4,4,4_4,473080.254,6788377.997,Lowland Moist Graminoid Shrub Meadow,1,35,,-9999,,-9999,,0,NA,NA
162,4,6,4_6,473078.5034,6788378.965,Lowland Moist Graminoid Shrub Meadow,1,40,,-9999,,-9999,,0,NA,NA
163,4,8,4_8,473076.7528,6788379.932,Lowland Moist Graminoid Shrub Meadow,1,33,,-9999,,-9999,,0,NA,moose print
164,4,10,4_10,473075.0022,6788380.899,Lowland Moist Graminoid Shrub Meadow,1,34,,-9999,,-9999,,0,NA,NA
165,4,12,4_12,473073.2516,6788381.866,Lowland Moist Graminoid Shrub Meadow,1,34,,-9999,,-9999,,0,NA,NA
166,4,14,4_14,473071.501,6788382.833,Lowland Moist Graminoid Shrub Meadow,1,32,,-9999,,-9999,,0,NA,NA
167,4,16,4_16,473069.7504,6788383.8,Lowland Moist Graminoid Shrub Meadow,1,34,,-9999,,-9999,,0,NA,NA
168,4,18,4_18,473067.9998,6788384.768,Lowland Moist Graminoid Shrub Meadow,1,39,,-9999,,-9999,,0,NA,NA
169,4,20,4_20,473066.2492,6788385.735,Lowland Moist Graminoid Shrub Meadow,1,35,,-9999,,-9999,,0,NA,NA
170,4,22,4_22,473064.4986,6788386.702,Lowland Moist Graminoid Shrub Meadow,1,38,,-9999,,-9999,,0,NA,NA
171,4,24,4_24,473062.748,6788387.669,Lowland Moist Graminoid Shrub Meadow,1,39,,-9999,,-9999,,0,Belos 0813-0814,NA
172,4,26,4_26,473060.9974,6788388.636,Lowland Moist Graminoid Shrub Meadow,1,40,,-9999,,-9999,,0,Belos 0812,NA
173,4,28,4_28,473059.2468,6788389.603,Lowland Moist Graminoid Shrub Meadow,1,47,,-9999,,-9999,,0,NA,NA
174,4,30,4_30,473057.4963,6788390.571,Lowland Moist Graminoid Shrub Meadow,1,43,,-9999,,-9999,,0,NA,NA
175,4,32,4_32,473055.7457,6788391.538,Lowland Moist Graminoid Shrub Meadow,1,45,,-9999,,-9999,,0,NA,NA
176,4,34,4_34,473053.9951,6788392.505,Lowland Moist Graminoid Shrub Meadow,1,44,,-9999,,-9999,,0,NA,NA
177,4,36,4_36,473052.2445,6788393.472,Lowland Moist Graminoid Shrub Meadow,1,44,,-9999,,-9999,,0,NA,NA
178,4,38,4_38,473050.4939,6788394.439,Lowland Moist Graminoid Shrub Meadow,1,42,,-9999,,-9999,,0,NA,NA
179,4,40,4_40,473048.7433,6788395.406,Lowland Moist Graminoid Shrub Meadow,1,38,,-9999,,-9999,,0,Belos 0811,NA
180,4,42,4_42,473046.9927,6788396.374,Lowland Moist Graminoid Shrub Meadow,1,36,,-9999,,-9999,,0,NA,NA
181,4,44,4_44,473045.2421,6788397.341,Lowland Moist Graminoid Shrub Meadow,1,34,,-9999,,-9999,,0,NA,NA
182,4,46,4_46,473043.4915,6788398.308,Lowland Moist Graminoid Shrub Meadow,1,39,,-9999,,-9999,,0,NA,NA
183,4,48,4_48,473041.7409,6788399.275,Lowland Moist Graminoid Shrub Meadow,1,41,,-9999,,-9999,,0,NA,NA
184,4,50,4_50,473039.9903,6788400.242,Lowland Moist Graminoid Shrub Meadow,1,36,,-9999,,-9999,,0,Belos 0818,NA
185,5,0,5_0,472875.4452,6788725.936,Lowland Wet Sedge Meadow,0,125,GT,-9999,,-9999,,0,Belos 0842,NA
186,5,2,5_2,472877.3359,6788726.588,Lowland Wet Sedge Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
187,5,4,5_4,472879.2266,6788727.24,Lowland Wet Sedge Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
188,5,6,5_6,472881.1173,6788727.892,Lowland Wet Sedge Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
189,5,8,5_8,472883.008,6788728.544,Lowland Wet Sedge Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
190,5,9,5_9,472883.9534,6788728.87,Lowland Wet Sedge Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
191,5,10,5_9.6,472884.5206,6788729.066,RackLine,1,47,,-9999,,-9999,,0,Belos 0841,wrack litter (2005?)
192,5,10,5_10,472884.8988,6788729.196,RackLine,1,26,,-9999,,-9999,,0,NA,NA
193,5,11,5_11,472885.8441,6788729.522,RackLine,1,36,,-9999,,-9999,,0,NA,NA
194,5,12,5_12,472886.7895,6788729.848,Lowland Moist Graminoid Shrub Meadow,1,35,,-9999,,-9999,,0,NA,NA
195,5,14,5_14,472888.6802,6788730.501,Lowland Moist Graminoid Shrub Meadow,1,39,,-9999,,-9999,,0,NA,NA
196,5,16,5_16,472890.5709,6788731.153,Lowland Moist Graminoid Shrub Meadow,1,46,,-9999,,-9999,,0,NA,talik here too
197,5,18,5_18,472892.4616,6788731.805,RackLine,1,52,,-9999,,-9999,,0,NA,"edge of dense driftwood, pfrost @ 86, seasonal frost @ 52, lower edge of seasonal frost @ 60"
198,5,19,5_19,472893.407,6788732.131,RackLine,1,38,,-9999,,-9999,,0,NA,NA
199,5,20,5_20,472894.3523,6788732.457,RackLine,1,33,,-9999,,-9999,,0,Belos 0840,NA
200,5,21,5_21,472895.2977,6788732.783,RackLine,1,35,,-9999,,-9999,,0,NA,NA
201,5,22,5_22,472896.243,6788733.109,RackLine,1,32,,-9999,,-9999,,0,NA,NA
202,5,23,5_23,472897.1884,6788733.435,Lowland Moist Graminoid Shrub Meadow,1,37,,-9999,,-9999,,0,NA,NA
203,5,24,5_24,472898.1337,6788733.761,Lowland Moist Graminoid Shrub Meadow,1,34,,-9999,,-9999,,0,NA,NA
204,5,25,5_25,472899.0791,6788734.087,Lowland Moist Graminoid Shrub Meadow,1,30,,-9999,,-9999,,0,Belos 0838-0839,NA
205,5,26,5_26,472900.0245,6788734.413,Lowland Moist Graminoid Shrub Meadow,1,32,,-9999,,-9999,,0,NA,NA
206,5,28,5_28,472901.9152,6788735.065,Lowland Moist Graminoid Shrub Meadow,1,29,,-9999,,-9999,,0,NA,NA
207,5,30,5_30,472903.8059,6788735.717,Lowland Moist Graminoid Shrub Meadow,1,35,,-9999,,-9999,,0,NA,NA
208,5,32,5_32,472905.6966,6788736.369,Lowland Moist Graminoid Shrub Meadow,1,36,,-9999,,-9999,,0,NA,NA
209,5,34,5_34,472907.5873,6788737.021,Lowland Moist Graminoid Shrub Meadow,1,43,,-9999,,-9999,,0,NA,NA
210,5,36,5_36,472909.478,6788737.673,Lowland Moist Graminoid Shrub Meadow,1,41,,-9999,,-9999,,0,NA,NA
