site_id,transect_name,ecotype,pf_observed,lon,lat,date,pf_depth,thaw_depth,obs_limit,source,method
43,1,Lowland Moist Graminoid Shrub Meadow,1,-165.50176374639707,61.250437681515166,07/13/2016,42.0,42.0,125,Whitley_2018,tp
44,1,Lowland Moist Graminoid Shrub Meadow,1,-165.50174515765275,61.250438333823894,07/13/2016,40.0,40.0,125,Whitley_2018,tp
45,2,Lowland Wet Sedge Meadow,0,-165.4986021630121,61.25488826216397,07/13/2016,,,125,Whitley_2018,tp
46,2,Lowland Wet Sedge Meadow,0,-165.49858367244101,61.254889398469764,07/13/2016,,,125,Whitley_2018,tp
47,2,Lowland Wet Sedge Meadow,0,-165.49856518359022,61.25489052578891,07/13/2016,,,125,Whitley_2018,tp
48,2,Lowland Wet Sedge Meadow,0,-165.49854669287427,61.25489165311243,07/13/2016,,,125,Whitley_2018,tp
49,2,Lowland Wet Sedge Meadow,0,-165.49852820215702,61.254892780433416,07/13/2016,,,125,Whitley_2018,tp
50,2,Thermokarst Pit/Moat,0,-165.4985097115806,61.2548939167291,07/13/2016,,,125,Whitley_2018,tp
51,2,Thermokarst Pit/Moat,0,-165.49849122086064,61.25489504404506,07/13/2016,,,125,Whitley_2018,tp
52,2,Lowland Wet Sedge Meadow,0,-165.49847273200317,61.254896171351646,07/13/2016,,,125,Whitley_2018,tp
53,2,Lowland Wet Sedge Meadow,0,-165.49845424128054,61.25489729866254,07/13/2016,,,125,Whitley_2018,tp
54,2,Thermokarst Pit/Moat,0,-165.49843575069875,61.25489843494817,07/13/2016,,,125,Whitley_2018,tp
55,2,Thermokarst Pit/Moat,0,-165.49841725997345,61.25489956225403,07/13/2016,,,125,Whitley_2018,tp
56,2,Lowland Moist Graminoid Shrub Meadow,0,-165.49839876924682,61.25490068955739,07/13/2016,,,125,Whitley_2018,tp
57,2,Lowland Moist Graminoid Shrub Meadow,1,-165.4983802805248,61.254901825828604,07/13/2016,77.0,77.0,125,Whitley_2018,tp
58,2,Lowland Moist Graminoid Shrub Meadow,1,-165.4983617897955,61.25490295312692,07/13/2016,34.0,34.0,125,Whitley_2018,tp
59,2,Lowland Moist Graminoid Shrub Meadow,1,-165.49834329906483,61.25490408042274,07/13/2016,35.0,35.0,125,Whitley_2018,tp
60,2,Lowland Moist Graminoid Shrub Meadow,1,-165.49832480833282,61.25490520771599,07/13/2016,36.0,36.0,125,Whitley_2018,tp
61,2,Lowland Moist Graminoid Shrub Meadow,1,-165.49830631774165,61.254906343983976,07/13/2016,34.0,34.0,125,Whitley_2018,tp
62,2,Lowland Moist Graminoid Shrub Meadow,1,-165.498287827007,61.25490747127223,07/13/2016,33.0,33.0,125,Whitley_2018,tp
63,2,Lowland Moist Graminoid Shrub Meadow,1,-165.49826933813478,61.25490859855112,07/13/2016,33.0,33.0,125,Whitley_2018,tp
64,2,Lowland Moist Graminoid Shrub Meadow,1,-165.49825084753957,61.25490973481153,07/13/2016,34.0,34.0,125,Whitley_2018,tp
65,2,Lowland Moist Graminoid Shrub Meadow,1,-165.49823235680088,61.25491086209222,07/13/2016,33.0,33.0,125,Whitley_2018,tp
66,2,Lowland Moist Graminoid Shrub Meadow,1,-165.49821386606087,61.254911989370385,07/13/2016,33.0,33.0,125,Whitley_2018,tp
67,2,Lowland Moist Graminoid Shrub Meadow,1,-165.4981953753195,61.25491311664604,07/13/2016,33.0,33.0,125,Whitley_2018,tp
68,2,Lowland Moist Graminoid Shrub Meadow,1,-165.4981768865827,61.25491425288955,07/13/2016,28.0,28.0,125,Whitley_2018,tp
69,2,Lowland Moist Graminoid Shrub Meadow,1,-165.4981583958387,61.25491538016018,07/13/2016,36.0,36.0,125,Whitley_2018,tp
70,2,Lowland Moist Graminoid Shrub Meadow,1,-165.49813990509332,61.25491650742824,07/13/2016,34.0,34.0,125,Whitley_2018,tp
71,2,Lowland Moist Graminoid Shrub Meadow,1,-165.49812141434663,61.25491763469382,07/13/2016,34.0,34.0,125,Whitley_2018,tp
72,2,Lowland Moist Graminoid Shrub Meadow,1,-165.49810292374067,61.254918770934104,07/13/2016,34.0,34.0,125,Whitley_2018,tp
73,2,Lowland Moist Graminoid Shrub Meadow,1,-165.49808443485506,61.254919898187794,07/13/2016,34.0,34.0,125,Whitley_2018,tp
74,2,Lowland Moist Graminoid Shrub Meadow,1,-165.49806594410438,61.25492102544581,07/13/2016,33.0,33.0,125,Whitley_2018,tp
75,2,Lowland Moist Graminoid Shrub Meadow,1,-165.49804745349437,61.25492216167853,07/13/2016,36.0,36.0,125,Whitley_2018,tp
76,2,Lowland Moist Graminoid Shrub Meadow,1,-165.498028962741,61.254923288931494,07/13/2016,34.0,34.0,125,Whitley_2018,tp
77,2,Lowland Moist Graminoid Shrub Meadow,1,-165.49801047198625,61.254924416181964,07/13/2016,33.0,33.0,125,Whitley_2018,tp
78,2,Lowland Moist Graminoid Shrub Meadow,1,-165.49799198309398,61.25492554342308,07/13/2016,30.0,30.0,125,Whitley_2018,tp
79,2,Lowland Moist Graminoid Shrub Meadow,1,-165.49797349247862,61.25492667964573,07/13/2016,31.0,31.0,125,Whitley_2018,tp
80,2,Lowland Moist Graminoid Shrub Meadow,1,-165.49795500171987,61.25492780688863,07/13/2016,40.0,40.0,125,Whitley_2018,tp
81,2,Lowland Moist Graminoid Shrub Meadow,1,-165.4979365109598,61.25492893412901,07/13/2016,43.0,43.0,125,Whitley_2018,tp
82,2,Lowland Moist Graminoid Shrub Meadow,1,-165.4979180203404,61.25493007034408,07/13/2016,35.0,35.0,125,Whitley_2018,tp
83,2,Lowland Moist Graminoid Shrub Meadow,1,-165.49789953144142,61.25493119757261,07/13/2016,34.0,34.0,125,Whitley_2018,tp
84,2,Lowland Moist Graminoid Shrub Meadow,1,-165.49788104067733,61.25493232480544,07/13/2016,42.0,42.0,125,Whitley_2018,tp
85,2,Lowland Moist Graminoid Shrub Meadow,1,-165.4978625499119,61.25493345203573,07/13/2016,45.0,45.0,125,Whitley_2018,tp
86,2,Lowland Moist Graminoid Shrub Meadow,1,-165.49784405928716,61.254934588240765,07/13/2016,66.0,66.0,125,Whitley_2018,tp
87,2,Thermoerosional gully,1,-165.49782556851903,61.25493571546602,07/13/2016,125.0,125.0,125,Whitley_2018,tp
88,2,Thermoerosional gully,0,-165.4978070796134,61.25493684268194,07/13/2016,,,125,Whitley_2018,tp
89,2,Thermoerosional gully,0,-165.4977885888426,61.25493796990217,07/13/2016,,,125,Whitley_2018,tp
90,2,Thermoerosional gully,0,-165.49777009821247,61.254939106097105,07/13/2016,,,125,Whitley_2018,tp
91,2,Thermoerosional gully,0,-165.49775160743903,61.25494023331231,07/13/2016,,,125,Whitley_2018,tp
92,2,Thermoerosional gully,0,-165.49773311666422,61.25494136052498,07/13/2016,,,125,Whitley_2018,tp
93,2,Thermoerosional gully,0,-165.49771462789386,61.254942496705524,07/13/2016,,,125,Whitley_2018,tp
94,2,Thermoerosional gully,0,-165.4976961371164,61.25494362391318,07/13/2016,,,125,Whitley_2018,tp
95,2,Thermoerosional gully,0,-165.49760368521473,61.25494926888398,07/13/2016,,,125,Whitley_2018,tp
96,2,Thermoerosional gully,0,-165.49751123342148,61.25495492276905,07/13/2016,,,125,Whitley_2018,tp
97,2,Thermoerosional gully,0,-165.49741878145286,61.2549605676139,07/13/2016,,,125,Whitley_2018,tp
98,2,Thermoerosional gully,0,-165.497400290654,61.25496169478126,07/13/2016,,,125,Whitley_2018,tp
99,2,Thermoerosional gully,0,-165.49738179999568,61.254962830923304,07/13/2016,,,125,Whitley_2018,tp
100,2,RackLine? Thermoerosional gully,0,-165.49736330919413,61.254963958085625,07/13/2016,,,125,Whitley_2018,tp
101,2,Lowland Moist Graminoid Shrub Meadow,1,-165.49734481839124,61.2549650852454,07/13/2016,125.0,125.0,125,Whitley_2018,tp
102,2,Lowland Moist Graminoid Shrub Meadow,1,-165.49732632945083,61.25496621239583,07/13/2016,37.0,37.0,125,Whitley_2018,tp
103,2,Lowland Moist Graminoid Shrub Meadow,1,-165.4973078387871,61.25496734852779,07/13/2016,34.0,34.0,125,Whitley_2018,tp
104,2,Lowland Moist Graminoid Shrub Meadow,1,-165.49728934798023,61.25496847568002,07/13/2016,36.0,36.0,125,Whitley_2018,tp
105,2,Lowland Moist Graminoid Shrub Meadow,1,-165.497270857172,61.254969602829725,07/13/2016,43.0,43.0,125,Whitley_2018,tp
106,2,Lowland Moist Graminoid Shrub Meadow,1,-165.49725236650423,61.25497073895415,07/13/2016,48.0,48.0,125,Whitley_2018,tp
107,2,Lowland Moist Graminoid Shrub Meadow,1,-165.49723387755714,61.25497186609199,07/13/2016,45.0,45.0,125,Whitley_2018,tp
108,3,Lowland Moist Graminoid Shrub Meadow,1,-165.49720457855335,61.25114359161439,07/13/2016,33.0,33.0,125,Whitley_2018,tp
109,3,Lowland Moist Graminoid Shrub Meadow,1,-165.49719528875949,61.25116097965752,07/13/2016,34.0,34.0,125,Whitley_2018,tp
110,3,Lowland Moist Graminoid Shrub Meadow,1,-165.49718599895544,61.25117836770001,07/13/2016,36.0,36.0,125,Whitley_2018,tp
111,3,Lowland Moist Graminoid Shrub Meadow,1,-165.49717670914117,61.25119575574181,07/13/2016,37.0,37.0,125,Whitley_2018,tp
112,3,Lowland Moist Graminoid Shrub Meadow,1,-165.49716741931664,61.25121314378296,07/13/2016,29.0,29.0,125,Whitley_2018,tp
113,3,Lowland Moist Graminoid Shrub Meadow,1,-165.49715812948193,61.25123053182343,07/13/2016,28.0,28.0,125,Whitley_2018,tp
114,3,Lowland Moist Graminoid Shrub Meadow,1,-165.497148839637,61.25124791986322,07/13/2016,31.0,31.0,125,Whitley_2018,tp
115,3,Lowland Moist Graminoid Shrub Meadow,1,-165.49713954978185,61.25126530790236,07/13/2016,40.0,40.0,125,Whitley_2018,tp
116,3,Lowland Wet Sedge Meadow,0,-165.49713490492132,61.2512740064103,07/13/2016,,,125,Whitley_2018,tp
117,3,Lowland Wet Sedge Meadow,0,-165.49713025991647,61.25128269594082,07/13/2016,,,125,Whitley_2018,tp
118,3,Lowland Moist Graminoid Shrub Meadow,0,-165.49712097004087,61.251300083978634,07/13/2016,,,125,Whitley_2018,tp
119,3,Lowland Moist Graminoid Shrub Meadow,0,-165.4971163251701,61.2513087824859,07/13/2016,,,125,Whitley_2018,tp
120,3,Water,0,-165.49711168015503,61.25131747201575,07/13/2016,,,125,Whitley_2018,tp
121,3,Water,0,-165.4970373608423,61.25145658526589,07/13/2016,,,125,Whitley_2018,tp
122,3,Lowland Wet Sedge Meadow,0,-165.49703271578383,61.251465274792885,07/13/2016,,,125,Whitley_2018,tp
123,3,Lowland Moist Graminoid Shrub Meadow,0,-165.49702807086453,61.251473973296974,07/13/2016,,,125,Whitley_2018,tp
124,3,Lowland Moist Graminoid Shrub Meadow,0,-165.49701878087652,61.251491361327396,07/13/2016,,,125,Whitley_2018,tp
125,3,Lowland Moist Graminoid Shrub Meadow,0,-165.49700949087827,61.25150874935717,07/13/2016,,,125,Whitley_2018,tp
126,3,Lowland Moist Graminoid Shrub Meadow,0,-165.49700484580444,61.25151743888319,07/13/2016,,,125,Whitley_2018,tp
127,3,Lowland Moist Graminoid Shrub Meadow,1,-165.49700020086982,61.25152613738624,07/13/2016,90.0,90.0,125,Whitley_2018,tp
128,3,Lowland Moist Graminoid Shrub Meadow,0,-165.49699555579087,61.25153482691193,07/13/2016,,,125,Whitley_2018,tp
129,3,Lowland Moist Graminoid Shrub Meadow,0,-165.49699091085114,61.25154352541467,07/13/2016,,,125,Whitley_2018,tp
130,3,Lowland Moist Graminoid Shrub Meadow,0,-165.49698162082223,61.25156091344243,07/13/2016,,,125,Whitley_2018,tp
131,3,Lowland Moist Graminoid Shrub Meadow,0,-165.4969769757331,61.25156960296742,07/13/2016,,,125,Whitley_2018,tp
132,3,Water,0,-165.49693981563658,61.25163916404763,07/13/2016,,,125,Whitley_2018,tp
133,3,Lowland Moist Graminoid Shrub Meadow,0,-165.49693517052444,61.25164785357113,07/13/2016,,,125,Whitley_2018,tp
134,3,Lowland Moist Graminoid Shrub Meadow,0,-165.49692588043422,61.25166524159486,07/13/2016,,,125,Whitley_2018,tp
135,3,Lowland Moist Graminoid Shrub Meadow,0,-165.49691659033377,61.251682629617925,07/13/2016,,,125,Whitley_2018,tp
136,3,Lowland Moist Graminoid Shrub Meadow,0,-165.4969073002231,61.25170001764033,07/13/2016,,,125,Whitley_2018,tp
137,3,Lowland Moist Graminoid Shrub Meadow,1,-165.4969026552348,61.251708716139895,07/13/2016,82.0,82.0,125,Whitley_2018,tp
138,3,Lowland Moist Graminoid Shrub Meadow,1,-165.49689801010223,61.25171740566203,07/13/2016,51.0,51.0,125,Whitley_2018,tp
139,3,Lowland Moist Graminoid Shrub Meadow,1,-165.4968887199711,61.2517347936831,07/13/2016,37.0,37.0,125,Whitley_2018,tp
140,3,Lowland Moist Graminoid Shrub Meadow,1,-165.49687942982982,61.25175218170347,07/13/2016,47.0,47.0,125,Whitley_2018,tp
141,3,Lowland Moist Graminoid Shrub Meadow,1,-165.49687013967826,61.251769569723194,07/13/2016,45.0,45.0,125,Whitley_2018,tp
142,3,Lowland Moist Graminoid Shrub Meadow,1,-165.4968608495165,61.25178695774225,07/13/2016,41.0,41.0,125,Whitley_2018,tp
143,3,Lowland Moist Graminoid Shrub Meadow,1,-165.49685155934452,61.25180434576062,07/13/2016,36.0,36.0,125,Whitley_2018,tp
144,3,Lowland Moist Graminoid Shrub Meadow,1,-165.49684226916233,61.25182173377832,07/13/2016,39.0,39.0,125,Whitley_2018,tp
145,3,Lowland Moist Graminoid Shrub Meadow,1,-165.4968329789699,61.25183912179536,07/13/2016,36.0,36.0,125,Whitley_2018,tp
146,3,Lowland Moist Graminoid Shrub Meadow,1,-165.49682368876725,61.25185650981174,07/13/2016,39.0,39.0,125,Whitley_2018,tp
147,3,Lowland Moist Graminoid Shrub Meadow,1,-165.49681439855436,61.25187389782743,07/13/2016,38.0,38.0,125,Whitley_2018,tp
148,3,Lowland Moist Graminoid Shrub Meadow,1,-165.49680510847296,61.251891294819686,07/13/2016,38.0,38.0,125,Whitley_2018,tp
149,3,Lowland Moist Graminoid Shrub Meadow,1,-165.4967958182397,61.251908682834056,07/13/2016,57.0,57.0,125,Whitley_2018,tp
150,3,Lowland Moist Graminoid Shrub Meadow,1,-165.49678652799614,61.25192607084774,07/13/2016,57.0,57.0,125,Whitley_2018,tp
151,3,Lowland Moist Graminoid Shrub Meadow,1,-165.4967772377424,61.25194345886075,07/13/2016,46.0,46.0,125,Whitley_2018,tp
152,3,Lowland Moist Graminoid Shrub Meadow,1,-165.49677259254088,61.2519521483784,07/13/2016,74.0,74.0,125,Whitley_2018,tp
153,3,Lowland Moist Graminoid Shrub Meadow,1,-165.49676794747845,61.25196084687311,07/13/2016,125.0,125.0,125,Whitley_2018,tp
154,3,Lowland Moist Graminoid Shrub Meadow,0,-165.49676330227177,61.25196953639041,07/13/2016,,,125,Whitley_2018,tp
155,3,Lowland Moist Graminoid Shrub Meadow,0,-165.49675401199246,61.251986924401756,07/13/2016,,,125,Whitley_2018,tp
156,3,Lowland Moist Graminoid Shrub Meadow,0,-165.4967400766252,61.25201301090615,07/13/2016,,,125,Whitley_2018,tp
157,4,Water,0,-165.50127092696394,61.228802582552305,07/13/2016,,,125,Whitley_2018,tp
158,4,Lowland Wet Sedge Meadow,0,-165.5012872963806,61.2288068672825,07/13/2016,,,125,Whitley_2018,tp
159,4,Lowland Moist Graminoid Shrub Meadow,1,-165.50130366565892,61.22881114303344,07/13/2016,73.0,73.0,125,Whitley_2018,tp
160,4,Lowland Moist Graminoid Shrub Meadow,1,-165.5013200350845,61.22881542775966,07/13/2016,39.0,39.0,125,Whitley_2018,tp
161,4,Lowland Moist Graminoid Shrub Meadow,1,-165.50133640437167,61.228819703506645,07/13/2016,35.0,35.0,125,Whitley_2018,tp
162,4,Lowland Moist Graminoid Shrub Meadow,1,-165.50136914324503,61.22882827294915,07/13/2016,40.0,40.0,125,Whitley_2018,tp
163,4,Lowland Moist Graminoid Shrub Meadow,1,-165.5014018819933,61.22883683340648,07/13/2016,33.0,33.0,125,Whitley_2018,tp
164,4,Lowland Moist Graminoid Shrub Meadow,1,-165.50143462075937,61.22884539385587,07/13/2016,34.0,34.0,125,Whitley_2018,tp
165,4,Lowland Moist Graminoid Shrub Meadow,1,-165.50146735954317,61.22885395429732,07/13/2016,34.0,34.0,125,Whitley_2018,tp
166,4,Lowland Moist Graminoid Shrub Meadow,1,-165.50150009834474,61.22886251473083,07/13/2016,32.0,32.0,125,Whitley_2018,tp
167,4,Lowland Moist Graminoid Shrub Meadow,1,-165.5015328371641,61.228871075156405,07/13/2016,34.0,34.0,125,Whitley_2018,tp
168,4,Lowland Moist Graminoid Shrub Meadow,1,-165.5015655761441,61.22887964455129,07/13/2016,39.0,39.0,125,Whitley_2018,tp
169,4,Lowland Moist Graminoid Shrub Meadow,1,-165.50159831499894,61.228888204961024,07/13/2016,35.0,35.0,125,Whitley_2018,tp
170,4,Lowland Moist Graminoid Shrub Meadow,1,-165.50163105387156,61.2288967653628,07/13/2016,38.0,38.0,125,Whitley_2018,tp
171,4,Lowland Moist Graminoid Shrub Meadow,1,-165.50166379276195,61.228905325756635,07/13/2016,39.0,39.0,125,Whitley_2018,tp
172,4,Lowland Moist Graminoid Shrub Meadow,1,-165.50169653167012,61.22891388614253,07/13/2016,40.0,40.0,125,Whitley_2018,tp
173,4,Lowland Moist Graminoid Shrub Meadow,1,-165.50172927059603,61.228922446520485,07/13/2016,47.0,47.0,125,Whitley_2018,tp
174,4,Lowland Moist Graminoid Shrub Meadow,1,-165.50176200782042,61.22893101587467,07/13/2016,43.0,43.0,125,Whitley_2018,tp
175,4,Lowland Moist Graminoid Shrub Meadow,1,-165.50179474678185,61.22893957623676,07/13/2016,45.0,45.0,125,Whitley_2018,tp
176,4,Lowland Moist Graminoid Shrub Meadow,1,-165.50182748576105,61.22894813659093,07/13/2016,44.0,44.0,125,Whitley_2018,tp
177,4,Lowland Moist Graminoid Shrub Meadow,1,-165.50186022475802,61.22895669693715,07/13/2016,44.0,44.0,125,Whitley_2018,tp
178,4,Lowland Moist Graminoid Shrub Meadow,1,-165.50189296377278,61.22896525727546,07/13/2016,42.0,42.0,125,Whitley_2018,tp
179,4,Lowland Moist Graminoid Shrub Meadow,1,-165.50192570280527,61.22897381760581,07/13/2016,38.0,38.0,125,Whitley_2018,tp
180,4,Lowland Moist Graminoid Shrub Meadow,1,-165.50195844199854,61.228982386905486,07/13/2016,36.0,36.0,125,Whitley_2018,tp
181,4,Lowland Moist Graminoid Shrub Meadow,1,-165.50199118106656,61.228990947219955,07/13/2016,34.0,34.0,125,Whitley_2018,tp
182,4,Lowland Moist Graminoid Shrub Meadow,1,-165.50202392015234,61.22899950752651,07/13/2016,39.0,39.0,125,Whitley_2018,tp
183,4,Lowland Moist Graminoid Shrub Meadow,1,-165.5020566592559,61.229008067825106,07/13/2016,41.0,41.0,125,Whitley_2018,tp
184,4,Lowland Moist Graminoid Shrub Meadow,1,-165.50208939837722,61.229016628115794,07/13/2016,36.0,36.0,125,Whitley_2018,tp
185,5,Lowland Wet Sedge Meadow,0,-165.50520054179498,61.23192908289476,07/13/2016,,,125,Whitley_2018,tp
186,5,Lowland Wet Sedge Meadow,0,-165.50516542257486,61.2319350672475,07/13/2016,,,125,Whitley_2018,tp
187,5,Lowland Wet Sedge Meadow,0,-165.50513030334133,61.23194105159113,07/13/2016,,,125,Whitley_2018,tp
188,5,Lowland Wet Sedge Meadow,0,-165.50509518409442,61.2319470359257,07/13/2016,,,125,Whitley_2018,tp
189,5,Lowland Wet Sedge Meadow,0,-165.50506006483414,61.23195302025116,07/13/2016,,,125,Whitley_2018,tp
190,5,Lowland Wet Sedge Meadow,0,-165.50504250426775,61.23195601241397,07/13/2016,,,125,Whitley_2018,tp
191,5,RackLine,1,-165.50503196872887,61.23195781129867,07/13/2016,47.0,47.0,125,Whitley_2018,tp
192,5,RackLine,1,-165.50502494369803,61.231959004574485,07/13/2016,26.0,26.0,125,Whitley_2018,tp
193,5,RackLine,1,-165.5050073849874,61.231961996725786,07/13/2016,36.0,36.0,125,Whitley_2018,tp
194,5,Lowland Moist Graminoid Shrub Meadow,1,-165.504989824411,61.23196498888178,07/13/2016,35.0,35.0,125,Whitley_2018,tp
195,5,Lowland Moist Graminoid Shrub Meadow,1,-165.50495470525448,61.23197098215723,07/13/2016,39.0,39.0,125,Whitley_2018,tp
196,5,Lowland Moist Graminoid Shrub Meadow,1,-165.50491958594066,61.23197696644637,07/13/2016,46.0,46.0,125,Whitley_2018,tp
197,5,RackLine,1,-165.50488446661348,61.23198295072641,07/13/2016,52.0,52.0,125,Whitley_2018,tp
198,5,RackLine,1,-165.50486690601363,61.23198594286651,07/13/2016,38.0,38.0,125,Whitley_2018,tp
199,5,RackLine,1,-165.50484934727288,61.23198893499739,07/13/2016,33.0,33.0,125,Whitley_2018,tp
200,5,RackLine,1,-165.50483178666636,61.2319919271329,07/13/2016,35.0,35.0,125,Whitley_2018,tp
201,5,RackLine,1,-165.50481422791896,61.23199491925925,07/13/2016,32.0,32.0,125,Whitley_2018,tp
202,5,Lowland Moist Graminoid Shrub Meadow,1,-165.50479666730573,61.23199791139024,07/13/2016,37.0,37.0,125,Whitley_2018,tp
203,5,Lowland Moist Graminoid Shrub Meadow,1,-165.50477910855162,61.23200090351203,07/13/2016,34.0,34.0,125,Whitley_2018,tp
204,5,Lowland Moist Graminoid Shrub Meadow,1,-165.5047615479317,61.232003895638485,07/13/2016,30.0,30.0,125,Whitley_2018,tp
205,5,Lowland Moist Graminoid Shrub Meadow,1,-165.50474398730844,61.232006887762644,07/13/2016,32.0,32.0,125,Whitley_2018,tp
