SiteIDYear,SiteID,SiteIDShort,SiteIDFld,Project,Date,Time,Year,ObservEnv,ObservVeg,ObservSoil,ObservWat,ObservDLog,ObservOther,LocBiome,LocEcoregion,LocLandmark,LocCode,LatWGS84,LonWGS84,ElevEllip_m,LatNAD83-11,LonNAD83-11,ElevOrtho_m,ElevMeth,PlotType,PlotSize_m,PlotRepeat,PlotPhotos,PlotVegID,PlotSoilID,PlotWatID,PlotDlogID,Treatment,TreatAggr,Physiog,Slope_deg,Aspect_deg,Aspect_Card,GeomSurfFld,GeomSurfFnl,GeomSurfAlt,GeomSubFld,GeomSubFnl,GeomSurfSub,GeomDom,GeomAggr,TopoMacro,TopoMicro,TopoRelief_cm,TopoDepress_m,TkarstType,TKarstStage,TKarstStageAlt,SurfRockPct,SurfFrostScarPct,WaterDep_cm,WaterAbvBlw,WaterSat30,WaterRegNWI,WaterpH,WaterEC_uScm,SoilpH10,SoilpH40,SoilpHGrad,SoilEC10_uScm,SitepH,SiteEC_uScm,SiteChem,SoilMotlDep_cm,SoilGleyDep_cm,SoilDrainage,SoilMoisture,SoilHydric,SoilOrgSurfThk_cm,SoilOrgCum40_cm,SoilOrgPostTK_cm,SoilTxtMin40,SoilTxtDom40,SoilSiltThk_cm,SoilRockDep_cm,SoilThawDep_cm,SoilFrostBot_cm,SoilCryoturb,SoilPFrost,SoilIceWdgDep_cm,SoilObsDep_cm,SoilStrat,SoilSamples,SoilMethod,SoilClassFld,SoilClassFnl,SoilClassEd,SoilLandscape,VegClass4Fld,VegClass4Fnl,VegClass4Alt,VegStruct,VegDomSpec,VegFlorClass,VegMethod,VegQual,DisturbClass,DisturbYear,DisturbInterv,EcotypeFld,EcotypeLvl8,Wetland,NotesFld,NotesOff,ClimMAAT_C,ClimMAP_mm,ClimMethod,DataRevEnv,DataRevSoil,DataRevVeg,DataOrigin,OutlierEnv,OutlierVeg,References,WaterStore_m,CarbStock_kgm2,CarbWat_SumDepth,CarbStock_PostTK_kgm2,FolderPath,FolderStatus,WebSiteUploadTxt
AL2-4-2010,AL2-4,AL2-4,AL2-4,ADOT Arctic Transportation Planning Geophysics,9/9/10 0:00,,2010,Kanevskiy,n,Kanevskiy,n,n,n,A,Brooks Foothills,Umiat,UM,69.25,-150.73,193,,,,GPS-recr,Perm-soil,1 m rad,1,y,nd,AL2-4,na,na,nd,nd,U,999,999,,Elui,Elui,Elui,nd,nd,Elui/nd,Elui,Elui,Slc,Ptcm,999,999,CM,DA,nd,999,999,999,u,u,Nsa,0,0,0,0,99,0,0,0,x,999,999,Ps,M,y,0,0,999,L,L,9999,9999,150,999,u,p,999,277,y,n,c,nd,nd,nd,AUL,nd,Slow,nd,nd,nd,nd,nd,nd,nd,0,0,nd,nd,u,,,99,999,nd,n,n,n,UAF/ADOT,n,n,Schnabel et al. 2012,0,0,0,,SiteFolder#B:\AkEcoSci\Projects\2018 NSF-UAF Upper Permafrost\SiteFolders\AL2-4,photos,9/28/22
AL2-5-2010,AL2-5,AL2-5,AL2-5,ADOT Arctic Transportation Planning Geophysics,9/9/10 0:00,,2010,Kanevskiy,n,Kanevskiy,n,n,n,A,Brooks Foothills,Umiat,UM,69.25,-150.72,190,,,,GPS-recr,Perm-soil,1 m rad,1,y,nd,AL2-5,na,na,nd,nd,L,999,999,,Lt,Ldim,Ld,nd,Elui,Ldim/Elui,Ldim,Ldim,Bd,Pllh,999,999,UD,UD,nd,999,999,999,u,u,Nse,0,0,0,0,99,0,0,0,x,999,999,Pv,W,y,24,32,999,O,O,9999,9999,48,999,u,p,999,389,y,n,c,nd,nd,nd,ALO,nd,Hgwst,nd,nd,nd,nd,nd,nd,nd,0,0,nd,nd,U,,,99,999,nd,n,n,n,UAF/ADOT,n,n,Schnabel et al. 2012,0,0,0,,SiteFolder#B:\AkEcoSci\Projects\2018 NSF-UAF Upper Permafrost\SiteFolders\AL2-5,photos,9/28/22
AL2-6-2010,AL2-6,AL2-6,AL2-6,ADOT Arctic Transportation Planning Geophysics,9/9/10 0:00,,2010,Kanevskiy,n,Kanevskiy,n,n,n,A,Brooks Foothills,Umiat,UM,69.25,-150.72,190,,,,GPS-recr,Perm-soil,1 m rad,1,y,nd,AL2-6,na,na,nd,nd,L,999,999,,Lt,Ldim,Ld,nd,Elui,Ldim/Elui,Ldim,Ldim,Bd,Pllh,999,999,TP,DI,nd,999,999,999,u,u,Nse,0,0,0,0,99,0,0,0,x,999,999,Pv,W,y,47,40,999,p,p,9999,9999,47,999,u,p,999,110,y,n,c,nd,nd,nd,ALp,nd,Hgwst,nd,nd,nd,nd,nd,nd,nd,0,0,nd,nd,U,,,99,999,nd,n,n,n,UAF/ADOT,n,n,Schnabel et al. 2012,0,0,0,,SiteFolder#B:\AkEcoSci\Projects\2018 NSF-UAF Upper Permafrost\SiteFolders\AL2-6,photos,9/28/22
AL2-TH10-631-2010,AL2-TH10-631,AL2-TH10-631,AL2-TH10-631,ADOT Arctic Transportation Planning Geophysics,9/1/10 0:00,,2010,Kanevskiy,n,Kanevskiy,n,n,n,A,Brooks Foothills,Umiat,UM,69.25,-150.72,9999,,,,GPS-recr,Perm-soil,1 m rad,1,y,nd,AL2-TH10-631,na,na,nd,nd,U,999,999,,Elui,Elui,Elui,nd,nd,Elui/nd,Elui,Elui,C,Phl,999,999,ND,UD,nd,999,999,999,u,u,Nsa,0,0,0,0,99,0,0,0,x,999,999,Ps,M,y,999,999,999,L,L,9999,9999,57,999,u,p,999,600,y,n,c,nd,nd,nd,AUL,nd,Hgmt,nd,nd,nd,nd,nd,nd,nd,0,0,nd,nd,u,,,99,999,nd,n,n,n,UAF/ADOT,n,n,Schnabel et al. 2012,0,0,0,,SiteFolder#B:\AkEcoSci\Projects\2018 NSF-UAF Upper Permafrost\SiteFolders\AL2-TH10-631,photos,9/28/22
AL4-1-2010,AL4-1,AL4-1,AL4-1,ADOT Arctic Transportation Planning Geophysics,9/7/10 0:00,,2010,Kanevskiy,n,Kanevskiy,n,n,n,A,Brooks Foothills,Umiat,UM,69.35,-151.07,155,,,,GPS-recr,Perm-soil,1 m rad,1,y,nd,AL4-1,na,na,nd,nd,U,999,999,,Elui,Elui,Elui,nd,nd,Elui/nd,Elui,Elui,Sup,Fh,999,999,UD,UD,nd,999,999,999,u,u,Nsa,0,0,0,0,99,0,0,0,x,999,999,Ps,M,y,9,12,999,L,L,9999,9999,59,999,u,p,999,100,y,n,c,nd,nd,nd,AUL,nd,Hgmt,nd,nd,nd,nd,nd,nd,nd,0,0,nd,nd,u,,,99,999,nd,n,n,n,UAF/ADOT,n,n,Schnabel et al. 2012,0,0,0,,SiteFolder#B:\AkEcoSci\Projects\2018 NSF-UAF Upper Permafrost\SiteFolders\AL4-1,photos,9/28/22
AL4-2-2010,AL4-2,AL4-2,AL4-2,ADOT Arctic Transportation Planning Geophysics,9/7/10 0:00,,2010,Kanevskiy,n,Kanevskiy,n,n,n,A,Brooks Foothills,Umiat,UM,69.35,-151.07,155,,,,GPS-recr,Perm-soil,1 m rad,1,y,nd,AL4-2,na,na,nd,nd,U,999,999,,Elui,Elui,Elui,nd,nd,Elui/nd,Elui,Elui,Sup,Fh,999,999,UD,UD,nd,999,999,999,u,u,Nsa,0,0,0,0,99,0,0,0,x,999,999,Ps,M,y,17,19,999,L,L,9999,9999,39,999,u,p,999,73,y,n,c,nd,nd,nd,AUL,nd,Hgmt,nd,nd,nd,nd,nd,nd,nd,0,0,nd,nd,U,,,99,999,nd,n,n,n,UAF/ADOT,n,n,Schnabel et al. 2012,0,0,0,,SiteFolder#B:\AkEcoSci\Projects\2018 NSF-UAF Upper Permafrost\SiteFolders\AL4-2,photos,9/28/22
AL4-3-2010,AL4-3,AL4-3,AL4-3,ADOT Arctic Transportation Planning Geophysics,9/7/10 0:00,,2010,Kanevskiy,n,Kanevskiy,n,n,n,A,Brooks Foothills,Umiat,UM,69.35,-151.07,156,,,,GPS-recr,Perm-soil,1 m rad,1,y,nd,AL4-3,na,na,nd,nd,U,999,999,,Elui,Elui,Elui,nd,nd,Elui/nd,Elui,Elui,Sup,Fh,999,999,UD,UD,nd,999,999,999,u,u,Nsa,0,0,0,0,99,0,0,0,x,999,999,Ps,M,y,22,25,999,O,O,9999,9999,34,999,u,p,999,270,y,n,c,nd,nd,nd,AUO,nd,Hgmt,nd,nd,nd,nd,nd,nd,nd,0,0,nd,nd,U,,,99,999,nd,n,n,n,UAF/ADOT,n,n,Schnabel et al. 2012,0,0,0,,SiteFolder#B:\AkEcoSci\Projects\2018 NSF-UAF Upper Permafrost\SiteFolders\AL4-3,photos,9/28/22
AL4-4-2010,AL4-4,AL4-4,AL4-4,ADOT Arctic Transportation Planning Geophysics,9/7/10 0:00,,2010,Kanevskiy,n,Kanevskiy,n,n,n,A,Brooks Foothills,Umiat,UM,69.35,-151.07,150,,,,GPS-recr,Perm-soil,1 m rad,1,y,nd,AL4-4,na,na,nd,nd,U,999,999,,Elui,Elui,Elui,nd,nd,Elui/nd,Elui,Elui,Sup,Fh,999,999,UD,UD,nd,999,999,999,u,u,Nsa,0,0,0,0,99,0,0,0,x,999,999,Ps,M,y,15,18,999,L,L,9999,9999,36,999,U,p,999,220,y,n,c,nd,nd,nd,AUL,nd,Slow,nd,nd,nd,nd,nd,nd,nd,0,0,nd,nd,U,,,99,999,nd,n,n,n,UAF/ADOT,n,n,Schnabel et al. 2012,0,0,0,,SiteFolder#B:\AkEcoSci\Projects\2018 NSF-UAF Upper Permafrost\SiteFolders\AL4-4,photos,9/28/22
AL4-5-2010,AL4-5,AL4-5,AL4-5,ADOT Arctic Transportation Planning Geophysics,9/8/10 0:00,,2010,Kanevskiy,n,Kanevskiy,n,n,n,A,Brooks Foothills,Umiat,UM,69.35,-151.07,155,,,,GPS-recr,Perm-soil,1 m rad,1,y,nd,AL4-5,na,na,nd,nd,U,999,999,,Elui,Elui,Elui,nd,nd,Elui/nd,Elui,Elui,Sup,Fh,999,999,UD,UD,nd,999,999,999,u,u,Nsa,0,0,0,0,99,0,0,0,x,999,999,Ps,M,y,13,18,999,L,L,9999,9999,43,999,U,p,999,130,y,n,c,nd,nd,nd,AUL,nd,Hgmt,nd,nd,nd,nd,nd,nd,nd,0,0,nd,nd,u,,,99,999,nd,n,n,n,UAF/ADOT,n,n,Schnabel et al. 2012,0,0,0,,SiteFolder#B:\AkEcoSci\Projects\2018 NSF-UAF Upper Permafrost\SiteFolders\AL4-5,photos,9/28/22
AnukRivFire-2009,AnukRivFire,AnukRivMetSTN,AnukRivMetSTN,UAF Palmer Soil Lab Surveys,9/15/09 0:00,,2009,Ping,n,"Ping, Michaelson",n,n,n,A,Brooks Foothills,Anuktuvuk River,ANAK,69.46,-150.16,113,,,,GPS-recr,Perm-Soil,2 m rad,1,N,nd,AnukRivFire,na,na,nd,nd,U,1,999,,nd,Elui,Elui,nd,Elui,Elui/Elui,Elui,Elui,Slp,Fh,999,999,TP,DI,nd,999,999,999,u,u,Nsa,0,0,3.92,0,99,0,3.92,0,A,999,999,Ps,M,y,71,40,0,P,P,9999,9999,65,999,u,p,999,105,y,Y,p,nd,Ghse,11,AUP,nd,Hgmt,nd,MT,nd,nd,nd,nd,nd,0,0,nd,nd,u,,some site characteristics photointerpreted by MTJ,99,999,nd,y,y,n,PRC-UAF,n,n,,0,0,0,,SiteFolder#B:\AkEcoSci\Projects\2018 NSF-UAF Upper Permafrost\SiteFolders\AnukRivFire,soildesc,9/28/22
AR6-1-2010,AR6-1,AR6-1 ,AR6-1 ,ADOT Arctic Transportation Planning Geophysics,9/10/10 0:00,,2010,Kanevskiy,n,Kanevskiy,n,n,n,A,Brooks Foothills,Umiat,UM,69.32,-150.97,116,,,,GPS-recr,Soil,1 m rad,1,y,nd,AR6-1,na,na,nd,nd,R,999,999,,Fbob,Fbob,Fbob,nd,nd,Fbob/nd,Fbob,Fbob,F,Phl,999,999,UD,UD,nd,999,999,999,u,u,Nsa,0,0,0,0,99,0,0,0,x,999,999,Ps,M,y,10,20,999,O,O,9999,9999,46,999,u,p,999,190,y,n,c,nd,nd,nd,ARO,nd,Slow,nd,nd,nd,nd,nd,nd,nd,0,0,nd,nd,u,,,99,999,nd,n,n,n,UAF/ADOT,n,n,Schnabel et al. 2012,0,0,0,,SiteFolder#B:\AkEcoSci\Projects\2018 NSF-UAF Upper Permafrost\SiteFolders\AR6-1,photos,9/28/22
AR6-2-2010,AR6-2,AR6-2,AR6-2,ADOT Arctic Transportation Planning Geophysics,9/10/10 0:00,,2010,Kanevskiy,n,Kanevskiy,n,n,n,A,Brooks Foothills,Umiat,UM,69.32,-150.97,116,,,,GPS-recr,Soil,1 m rad,1,y,nd,AR6-2,na,na,nd,nd,R,999,999,,Fbob,Fbob,Fbob,nd,nd,Fbob/nd,Fbob,Fbob,F,Phl,999,999,UD,UD,nd,999,999,999,u,u,Nsa,0,0,0,0,99,0,0,0,x,999,999,Ps,M,y,999,999,999,O,O,9999,9999,30,999,U,p,999,100,y,n,c,nd,nd,nd,ARO,nd,Slow,nd,nd,nd,nd,nd,nd,nd,0,0,nd,nd,U,,,99,999,nd,n,n,n,UAF/ADOT,n,n,Schnabel et al. 2012,0,0,0,,SiteFolder#B:\AkEcoSci\Projects\2018 NSF-UAF Upper Permafrost\SiteFolders\AR6-2,photos,9/28/22
AR6-3-2010,AR6-3,AR6-3,AR6-3,ADOT Arctic Transportation Planning Geophysics,9/10/10 0:00,,2010,Kanevskiy,n,Kanevskiy,n,n,n,A,Brooks Foothills,Umiat,UM,69.32,-150.97,117,,,,GPS-recr,Soil,1 m rad,1,y,nd,AR6-3,na,na,nd,nd,R,999,999,,Fbob,Fbob,Fbob,nd,nd,Fbob/nd,Fbob,Fbob,F,Phl,999,999,UD,UD,nd,999,999,999,u,u,Nsa,0,0,0,0,99,0,0,0,x,999,999,Ps,M,y,999,999,999,O,O,9999,9999,45,999,U,p,999,200,y,n,c,nd,nd,nd,ARO,nd,Hgmt,nd,nd,nd,nd,nd,nd,nd,0,0,nd,nd,u,,,99,999,nd,n,n,n,UAF/ADOT,n,n,Schnabel et al. 2012,0,0,0,,SiteFolder#B:\AkEcoSci\Projects\2018 NSF-UAF Upper Permafrost\SiteFolders\AR6-3,photos,9/28/22
ARU-LDSB2-2020,ARU-LDSB2,ARU-LDSB2,ARU-LDSB2,SERDP Hab-Bird,7/9/20 0:00,3:47pm,2020,"jorg,genet","jorg,genet","jorg,genet",n,n,n,B,Tanana_Kuskokwim Lowlands,BNZ,BNZ,64.7,-148.29,128,0,0,,gps-recr,Soil-Veg,10mradius,0,y,ARU-LDSB2,ARU-LDSB2-2020,na,na,L-SB,,L,0,0,,Fmob,Fmob,Fmob,Fmob,,,Fmob,,F,fh,60,0,na,na,,0,0,-13,B,y,Nsa,5.6,142,3.9,999,,137,3.9,137,A,999,25,Ps,W,y,16,23,0,L,O,9999,9999,30,999,A,P,999,30,y,n,LT,,,,BLO,Fnwbs,Slcbe,,SL,betgla-chacal-hylspl-ledgro-plesch-vacvit,nd,O,C,a,0,0,lowals,BLWLS,,,,0,0,,,,,,,,,0,0,0,,,,
ARU-ldsb6-2020,ARU-ldsb6,ARU-ldsb6,ARU-ldsb6,SERDP Hab-Bird,7/1/20 0:00,,2020,tricianelsen,MTJ,MTJ,n,n,n,B,Tanana-Kuskokwim Lowlands,transmitterroad,YTA,64.75,-147.04,192,0,0,,gps-recr,Soil-Veg,10,0,y,ARU-LDSB6,Need,na,na,L-SB,BLP,L,0,0,,Obc,Obc,ob,ell,,,Obc,,b,n,20,0,bg,dc,,0,0,-3,B,y,nse,4.4,25,999,999,,999,4.4,25,a,999,999,pv,w,y,130,40,0,p,p,9999,9999,999,999,a,A,999,130,y,n,lt,,,,BLp,sdev,sdev,hgwsb,BD,calcan-carutr-erisch-oxymic-sphrip-,nd,o,c,ngt,0,0,lpwads,BLBM,,bogmeadow?,,0,0,,,,,,,,,0,0,0,,,,
