Site,Date,Sample_ID,Latitude,Longitude,Elevation,Thaw_Depth,Soil_Moisture,Veg_Height,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0036,64.72542379,-165.9558245,88.608,33,76.6,40,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0037,64.72550406,-165.9558598,90.08,32,42.8,5,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0038,64.72571637,-165.9559003,90.539,72,58.3,50,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0039,64.72589491,-165.956031,92.302,79,59.4,50,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0040,64.72618026,-165.9563281,94.901,53,59.7,50,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0041,64.72640954,-165.9565362,96.438,50,52.8,50,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0042,64.72670235,-165.9568886,97.851,85,54.1,140,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0043,64.72691082,-165.957163,100.642,23,55.7,20,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0044,64.72717627,-165.9576037,103.303,22,52.1,10,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0045,64.7275985,-165.9582535,107.694,28,50.5,10,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0046,64.7279647,-165.9588196,111.41,32,65,20,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0047,64.72830514,-165.9596084,116.005,30,69.3,15,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0048,64.72851058,-165.959894,117.369,82,55.2,50,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0049,64.72860828,-165.9599812,117.803,95,52.6,220,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0050,64.72860429,-165.9604623,119.958,33,54.5,30,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0051,64.72872615,-165.9602487,119.75,60,49.7,250,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0052,64.72893313,-165.960674,123.305,88,52.2,200,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0053,64.729446,-165.9614999,131.215,27,59.4,20,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0054,64.72973296,-165.9617345,133.45,65,50.3,130,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0055,64.73021099,-165.9621551,139.514,20,47.5,5,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0056,64.73040286,-165.9622673,140.709,72,57.9,100,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0057,64.73076228,-165.9627117,145.167,36,54.2,40,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0058,64.73095313,-165.9634386,148.45,38,43.6,100,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0059,64.73112344,-165.963539,149.572,38,48.8,230,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0060,64.73145553,-165.9645387,158.092,60,46.8,10,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0061,64.73179704,-165.9653559,164.801,85,38.1,5,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0062,64.73212176,-165.9660419,171.767,64,43.8,30,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0063,64.73234713,-165.9665193,176.151,54,50.2,40,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0064,64.73245066,-165.966654,178.814,50,51.5,20,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0065,64.73307132,-165.9670375,186.163,35,60.6,25,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0066,64.73351643,-165.9673313,192.05,20,50.7,10,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0067,64.73377991,-165.9677234,195.239,25,69.4,50,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0068,64.73411902,-165.9680976,200.499,20,55.5,5,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0069,64.73465796,-165.9687716,206.819,58,42.8,10,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0070,64.73504423,-165.9692551,212.085,53,39.9,5,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0071,64.73527248,-165.9695747,214.812,32,57.6,60,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0072,64.73559325,-165.9698098,217.871,30,55.9,40,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0073,64.73589459,-165.9705112,223.261,73,40.1,5,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0074,64.73626734,-165.9710592,228.192,51,52.1,5,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0075,64.73671233,-165.9715621,234.115,29,54.1,20,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0076,64.73705678,-165.9719865,238.033,50,57.4,20,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0077,64.7374102,-165.9722904,241.954,31,55.7,10,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0078,64.73780951,-165.9727166,245.812,21,65.2,5,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0079,64.73857941,-165.9732508,251.414,27,82.2,20,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0080,64.73908802,-165.973953,255.414,30,76.9,20,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0081,64.73953417,-165.9741848,256.792,31,85,40,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0082,64.73993343,-165.9740437,257.848,31,64.1,10,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0083,64.7402097,-165.9740848,258.071,105,69.9,30,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0084,64.74064192,-165.9739278,259.224,55,61,10,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0085,64.7411839,-165.9738296,260.138,57,69.9,30,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0086,64.74078157,-165.9736329,259.485,60,58.4,10,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0087,64.74034556,-165.973177,257.751,70,56.5,40,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0088,64.74001604,-165.9727372,255.934,78,83.2,40,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0089,64.73968807,-165.9721388,253.941,50,56.3,40,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0090,64.73932951,-165.9717613,251.937,36,51.1,45,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0091,64.73926457,-165.9711514,251.031,29,54.9,10,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0092,64.73861894,-165.97041,245.062,51,49.2,60,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0093,64.73832835,-165.9696775,241.165,54,36.8,20,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0094,64.73811823,-165.9693133,238.406,44,49.2,10,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0095,64.73786769,-165.9689918,235.401,41,43.8,10,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0096,64.73761473,-165.9686246,231.585,60,45.6,10,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0097,64.7373717,-165.9682315,228.198,61,40.3,5,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0098,64.73716635,-165.9678431,224.289,58,51.3,10,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0099,64.73695201,-165.9675273,221.757,67,50.2,10,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0100,64.73670251,-165.9672768,218.957,55,58.9,30,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0101,64.73646379,-165.9670272,216.994,29,54.6,10,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0102,64.73626579,-165.9667438,213.836,36,50.4,10,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0103,64.73619156,-165.9666234,212.468,29,52.5,50,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0104,64.73594376,-165.9663186,207.703,78,42.3,10,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0105,64.73572105,-165.9659562,205.797,80,37.3,5,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0106,64.73552053,-165.9655848,200.842,52,39.6,10,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0107,64.73527623,-165.9652184,196.874,56,34.1,10,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0108,64.73501409,-165.9648649,194.099,71,38.1,5,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0109,64.73474278,-165.9644848,190.473,41,58.4,20,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0110,64.73449987,-165.964138,187.454,35,52.9,10,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0111,64.73427929,-165.9638183,184.495,36,55.5,40,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0112,64.73404291,-165.9635126,180.959,57,50.1,20,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0113,64.73381654,-165.9631116,177.367,34,53.9,15,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0114,64.73354922,-165.9626702,172.156,46,40.3,25,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0115,64.73345351,-165.9624021,167.901,65,38.6,30,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0116,64.73325059,-165.9619731,163.637,51,48.6,15,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0117,64.73289558,-165.9615714,159.257,56,32.5,0,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0118,64.73291857,-165.961273,158.359,90,34.5,10,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0119,64.73274426,-165.9609738,156.208,74,39.1,20,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0120,64.73269492,-165.9607513,153.224,84,39.9,15,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0121,64.73244575,-165.9604188,149.759,65,50.3,10,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0122,64.73227119,-165.9601738,148.103,90,41.1,0,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0123,64.73200905,-165.9597426,144.859,90,33.9,2,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0124,64.73178122,-165.9593639,141.779,60,43.3,10,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0125,64.73154909,-165.9590359,139.349,75,45.7,5,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0126,64.73132644,-165.958677,136.473,60,46.2,5,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0127,64.73108984,-165.9583077,133.219,59,49.3,5,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0128,64.73080564,-165.9580388,129.065,62,43.5,10,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0129,64.73057347,-165.9577211,131.742,53,44.7,5,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0130,64.73045409,-165.9572237,121.41,84,41.6,120,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0131,64.730137,-165.9567347,117.837,70,39.4,50,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0132,64.72982878,-165.9563823,114.929,83,59.9,50,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0133,64.72945772,-165.9559088,111.989,102,67.6,50,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0134,64.72894761,-165.955391,107.723,98,51.7,30,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0135,64.72873696,-165.9552076,106.392,57,47.2,60,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0136,64.72845407,-165.9549024,103.484,73,61.2,40,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0137,64.72822375,-165.9545241,101.39,37,60.7,20,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0138,64.72794867,-165.9543096,98.508,82,68.3,50,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0139,64.72772453,-165.9540371,97.092,31,59.8,20,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0140,64.72747038,-165.9537481,94.688,33,58.1,15,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0141,64.72724238,-165.9535056,92.603,44,54.1,20,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0142,64.72690532,-165.9536592,90.442,72,62.4,120,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0143,64.72665868,-165.9528772,88.071,56,58.3,30,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0144,64.72647432,-165.9529906,87.678,43,52,35,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0145,64.72636706,-165.9531091,86.542,92,30.3,50,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0146,64.72618301,-165.9531828,86.112,76,62.3,110,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0147,64.72598785,-165.9521354,84.284,31,51.5,20,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0148,64.72578321,-165.9515564,81.862,45,57.8,15,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0149,64.7256377,-165.9513629,81.06,31,53.8,15,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0150,64.72548229,-165.9508707,78.779,56,74.7,30,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0151,64.72519831,-165.9507083,77.849,32,52.6,40,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0152,64.72494631,-165.9507465,76.395,100,76.4,110,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0153,64.72467799,-165.9503462,75.46,44,58.3,40,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0154,64.72440836,-165.9501349,73.8,58,60.7,20,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0155,64.72405909,-165.9495754,72.096,35,45.8,15,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0156,64.72374714,-165.9494712,69.757,72,72.6,25,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0157,64.72328931,-165.9489141,67.24,34,42.5,30,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0158,64.72304176,-165.9490193,65.742,35,80,25,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0159,64.72273441,-165.9488915,63.901,38,78.9,25,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0160,64.72252651,-165.9483297,62.418,31,50.4,30,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0161,64.72227287,-165.948248,60.723,54,77.6,30,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0162,64.72207974,-165.9480777,58.46,75,55.8,160,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0163,64.72179947,-165.9469188,55.63,67,27.4,15,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0164,64.72257991,-165.9419372,59.524,83,44.8,10,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0165,64.72268683,-165.9422273,59.964,80,47.4,80,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0166,64.72278595,-165.9425609,60.058,62,50.4,80,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0167,64.72282973,-165.9428512,59.9,68,44.6,120,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0168,64.72290196,-165.9432104,59.644,60,48.7,70,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0169,64.72304236,-165.9434664,59.711,58,42.9,30,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0170,64.72321917,-165.9436627,60.224,88,43.8,40,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0171,64.72341726,-165.9438461,60.809,77,47.2,30,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0172,64.7235824,-165.9440145,61.123,65,51.6,10,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0173,64.72375406,-165.944211,61.393,60,50.2,20,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0174,64.72391964,-165.944378,61.832,63,46.4,5,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0175,64.72407901,-165.9445321,61.793,75,49,10,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0176,64.72424524,-165.9447952,59.155,75,32.9,70,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0177,64.72440431,-165.9449964,59.148,103,34.7,70,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0178,64.72455509,-165.9451922,59.404,90,43,40,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0179,64.72474905,-165.9453356,60.162,97,51.4,160,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0180,64.72490489,-165.9456214,60.763,62,43.9,50,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0181,64.72507038,-165.9458187,61.594,68,30.1,160,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0182,64.72539475,-165.9458934,63.437,77,47.4,50,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0183,64.72562406,-165.9463629,64.729,90,51.4,20,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0184,64.72596268,-165.9471426,70.345,58,50,30,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0185,64.72613153,-165.9474633,71.847,100,35.5,30,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0186,64.72638327,-165.9477847,74.42,62,31.8,20,,,,,,,,,,,,,,,,
Teller_MM27,20220721,TTHAW0187,64.72669918,-165.948287,77.952,47,50.6,35,,,,,,,,,,,,,,,,
Teller_MM27,20220721,TTHAW0188,64.72684589,-165.9487191,79.624,120,73.3,40,,,,,,,,,,,,,,,,
Teller_MM27,20220721,TTHAW0189,64.72715096,-165.9493117,82.542,56,61.3,100,,,,,,,,,,,,,,,,
Teller_MM27,20220721,TTHAW0190,64.72737216,-165.9490185,83.516,74,84.8,50,,,,,,,,,,,,,,,,
Teller_MM27,20220721,TTHAW0191,64.72748458,-165.9486365,83.434,52,56.9,15,,,,,,,,,,,,,,,,
Teller_MM27,20220721,TTHAW0192,64.72785257,-165.9492615,85.798,87,52.6,200,,,,,,,,,,,,,,,,
Teller_MM27,20220721,TTHAW0193,64.72801376,-165.9504222,89.217,86,68.9,110,,,,,,,,,,,,,,,,
Teller_MM27,20220721,TTHAW0194,64.72825858,-165.9509958,93.284,84,53.1,120,,,,,,,,,,,,,,,,
Teller_MM27,20220721,TTHAW0195,64.72858587,-165.9514631,96.816,41,68,20,,,,,,,,,,,,,,,,
Teller_MM27,20220721,TTHAW0196,64.72882956,-165.9517779,98.978,56,50.1,15,,,,,,,,,,,,,,,,
Teller_MM27,20220721,TTHAW0197,64.72904666,-165.9522,101.334,35,53.4,30,,,,,,,,,,,,,,,,
Teller_MM27,20220721,TTHAW0198,64.72924203,-165.9524724,103.426,39,49.2,10,,,,,,,,,,,,,,,,
Teller_MM27,20220721,TTHAW0199,64.72945624,-165.9528237,105.536,31,53.2,20,,,,,,,,,,,,,,,,
Teller_MM27,20220721,TTHAW0200,64.72974987,-165.9531926,108.617,49,50.3,10,,,,,,,,,,,,,,,,
Teller_MM27,20220721,TTHAW0201,64.72995533,-165.9535575,110.803,49,50.3,20,,,,,,,,,,,,,,,,
Teller_MM27,20220721,TTHAW0202,64.73015473,-165.9538859,112.777,64,49.5,15,,,,,,,,,,,,,,,,
Teller_MM27,20220721,TTHAW0203,64.73038522,-165.9541476,114.326,59,35.1,5,,,,,,,,,,,,,,,,
Teller_MM27,20220721,TTHAW0204,64.73061549,-165.9543852,116.936,46,38.9,10,,,,,,,,,,,,,,,,
Teller_MM27,20220721,TTHAW0205,64.73077636,-165.9546103,118.378,55,24.9,10,,,,,,,,,,,,,,,,
Teller_MM27,20220721,TTHAW0206,64.73102341,-165.9548671,120.215,48,22.3,5,,,,,,,,,,,,,,,,
Teller_MM27,20220721,TTHAW0207,64.73129487,-165.9549177,124.358,84,37.2,10,,,,,,,,,,,,,,,,
Teller_MM27,20220721,TTHAW0208,64.73157031,-165.9551572,126.514,62,38,5,,,,,,,,,,,,,,,,
Teller_MM27,20220721,TTHAW0209,64.73179645,-165.9554485,129.661,70,33.4,10,,,,,,,,,,,,,,,,
Teller_MM27,20220721,TTHAW0210,64.73200493,-165.9557064,131.789,66,50.7,20,,,,,,,,,,,,,,,,
Teller_MM27,20220721,TTHAW0211,64.73217627,-165.9558018,133.952,74,42.8,130,,,,,,,,,,,,,,,,
Teller_MM27,20220721,TTHAW0212,64.73247179,-165.9561563,137.033,57,55,35,,,,,,,,,,,,,,,,
Teller_MM27,20220721,TTHAW0213,64.73275838,-165.9563213,139.447,82,48.8,20,,,,,,,,,,,,,,,,
Teller_MM27,20220721,TTHAW0214,64.73310119,-165.9566443,143.919,75,28.9,5,,,,,,,,,,,,,,,,
Teller_MM27,20220721,TTHAW0215,64.73336814,-165.9569769,146.218,82,46.8,60,,,,,,,,,,,,,,,,
Teller_MM27,20220721,TTHAW0216,64.73372755,-165.9572993,148.798,69,46.7,50,,,,,,,,,,,,,,,,
Teller_MM27,20220721,TTHAW0217,64.73395224,-165.9578624,153.627,83,46.8,5,,,,,,,,,,,,,,,,
Teller_MM27,20220721,TTHAW0218,64.73419167,-165.9582734,157.519,95,36,5,,,,,,,,,,,,,,,,
Teller_MM27,20220721,TTHAW0219,64.73445696,-165.9586683,160.778,61,46.9,10,,,,,,,,,,,,,,,,
Teller_MM27,20220721,TTHAW0220,64.73507702,-165.9590819,166.566,61,48.8,170,,,,,,,,,,,,,,,,
Teller_MM27,20220721,TTHAW0221,64.73500493,-165.9597111,170.987,58,49.4,5,,,,,,,,,,,,,,,,
Teller_MM27,20220721,TTHAW0222,64.73523176,-165.9600663,173.989,70,48.1,10,,,,,,,,,,,,,,,,
Teller_MM27,20220721,TTHAW0223,64.73546826,-165.9605185,178.21,54,35.9,5,,,,,,,,,,,,,,,,
Teller_MM27,20220721,TTHAW0224,64.73583167,-165.9610554,184.689,39,47.7,30,,,,,,,,,,,,,,,,
Teller_MM27,20220721,TTHAW0225,64.73598214,-165.9613522,186.661,51,52.2,50,,,,,,,,,,,,,,,,
Teller_MM27,20220721,TTHAW0226,64.73617821,-165.9617134,189.544,64,48.9,10,,,,,,,,,,,,,,,,
Teller_MM27,20220721,TTHAW0227,64.73642505,-165.9623089,193.955,64,36.9,5,,,,,,,,,,,,,,,,
Teller_MM27,20220721,TTHAW0228,64.73661997,-165.962758,197.309,65,46.8,10,,,,,,,,,,,,,,,,
